feature_idx,importance
89,0.01809945323706831
72,0.014457316427007958
80,0.014263476406512059
81,0.014171418190429712
74,0.014165151976033678
88,0.013979072927682929
73,0.013560048926980414
75,0.013517200983259769
83,0.013389030012893176
24,0.013230775907497123
25,0.01307991071874752
65,0.01278448769820392
10,0.012529570143037976
82,0.012490086208168327
50,0.012436018859122403
12,0.012388696133085953
90,0.012245783471083373
11,0.012089943288366302
39,0.011822223763194003
76,0.011814811465214707
55,0.01154447408606452
79,0.01151369768021615
35,0.01151333823604329
2,0.01138095673260878
43,0.011356507863404966
51,0.011277272243571898
3,0.011202305072392274
78,0.011142527122667804
9,0.011126694228851128
8,0.01111139988213898
